"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-69620","Cell Cycle Checkpoints","132/2126","290/10616",2.36192254231693e-23,3.15080467145078e-20,2.16302380191129e-20,"PSMB10/H4C2/ANAPC16/CENPT/RANGAP1/PLK1/PSME1/INCENP/H4C1/H4C3/MCM10/CDC45/NUP37/YWHAB/H4C5/AURKB/PPP2CB/PSMB1/H4C4/H2BC12/ZWINT/UBE2N/MAD1L1/H2BU1/UBB/PKMYT1/PSMA2/UBC/SPC24/PSMD6/PPP2R5C/PSMC2/PSMB8/H4C13/MCM4/RFC3/ANAPC11/PSMB2/MAPRE1/GTSE1/CENPP/CENPO/RPA2/PSMC5/CENPM/PSMD9/UBE2V2/CENPF/KNTC1/ZNF385A/DYNC1LI2/PSMA3/EXO1/BRIP1/PSMB5/CCNB2/DYNC1LI1/PPP2R5B/PSMA1/MCM3/CDC25A/PSMD13/CDKN1B/PSMD10/NBN/DYNLL1/MCM2/SEM1/KIF2A/CDC6/CLSPN/SEH1L/PSMB3/XPO1/CENPQ/UBE2E1/CDC7/ANAPC10/BRCA1/BUB1/PSMC4/WRN/ORC4/H2BC5/PSMA5/UBE2D1/CHEK1/MCM8/BABAM1/PSMD14/ORC1/PSMD5/PSMA4/BLM/ITGB3BP/H2BC14/PSMC3/ERCC6L/UBA52/ORC3/ORC2/CDK1/ATM/CENPE/H2BC15/ANAPC4/PSMB7/H2BC8/CDCA8/SEC13/MRE11/KIF2C/CDC26/RFC5/PSMD7/PSMD2/PSMD12/PSMD8/ORC5/CCNB1/YWHAH/ZW10/BUB3/BIRC5/CCNA2/PSME3/H2BC4/PSMB4/SPDL1/RBBP8/NDC80/MDM4",132
"R-HSA-69306","DNA Replication","73/2126","127/10616",1.09116936358447e-20,4.97559114267427e-18,3.41573762654984e-18,"POLE/PSMB10/ANAPC16/PSME1/POLD4/MCM10/RBX1/CDC45/POLD1/PSMB1/POLD2/UBB/PSMA2/UBC/PSMD6/PSMC2/PSMB8/RPA4/MCM4/RFC3/ANAPC11/PSMB2/RPA2/PSMC5/PSMD9/PCNA/PSMA3/POLA2/POLE4/GINS1/SKP1/PSMB5/PSMA1/MCM3/PSMD13/POLE3/PSMD10/MCM2/SEM1/CDC6/SKP2/PSMB3/GINS2/UBE2E1/CDC7/ANAPC10/PSMC4/ORC4/PSMA5/UBE2D1/MCM8/PSMD14/ORC1/PSMD5/PSMA4/PSMC3/UBA52/ORC3/ORC2/ANAPC4/PSMB7/CDC26/RFC5/PSMD7/PSMD2/PSMD12/PSMD8/PRIM2/ORC5/POLE2/CCNA2/PSME3/PSMB4",73
"R-HSA-69239","Synthesis of DNA","70/2126","119/10616",1.11894853283529e-20,4.97559114267427e-18,3.41573762654984e-18,"POLE/PSMB10/ANAPC16/PSME1/POLD4/RBX1/CDC45/POLD1/PSMB1/POLD2/UBB/PSMA2/UBC/PSMD6/PSMC2/PSMB8/MCM4/RFC3/ANAPC11/PSMB2/RPA2/PSMC5/PSMD9/PCNA/PSMA3/POLA2/POLE4/GINS1/SKP1/PSMB5/PSMA1/MCM3/PSMD13/POLE3/PSMD10/MCM2/SEM1/CDC6/SKP2/PSMB3/GINS2/UBE2E1/ANAPC10/PSMC4/ORC4/PSMA5/UBE2D1/MCM8/PSMD14/ORC1/PSMD5/PSMA4/PSMC3/UBA52/ORC3/ORC2/ANAPC4/PSMB7/CDC26/RFC5/PSMD7/PSMD2/PSMD12/PSMD8/PRIM2/ORC5/POLE2/CCNA2/PSME3/PSMB4",70
"R-HSA-69481","G2/M Checkpoints","84/2126","167/10616",1.34949685320085e-18,4.50057200542484e-16,3.08963753232827e-16,"PSMB10/H4C2/PSME1/H4C1/H4C3/MCM10/CDC45/YWHAB/H4C5/PSMB1/H4C4/H2BC12/UBE2N/H2BU1/UBB/PKMYT1/PSMA2/UBC/PSMD6/PSMC2/PSMB8/H4C13/MCM4/RFC3/PSMB2/GTSE1/RPA2/PSMC5/PSMD9/UBE2V2/PSMA3/EXO1/BRIP1/PSMB5/CCNB2/PSMA1/MCM3/CDC25A/PSMD13/PSMD10/NBN/MCM2/SEM1/CDC6/CLSPN/PSMB3/CDC7/BRCA1/PSMC4/WRN/ORC4/H2BC5/PSMA5/CHEK1/MCM8/BABAM1/PSMD14/ORC1/PSMD5/PSMA4/BLM/H2BC14/PSMC3/UBA52/ORC3/ORC2/CDK1/ATM/H2BC15/PSMB7/H2BC8/MRE11/RFC5/PSMD7/PSMD2/PSMD12/PSMD8/ORC5/CCNB1/YWHAH/PSME3/H2BC4/PSMB4/RBBP8",84
"R-HSA-69002","DNA Replication Pre-Initiation","54/2126","85/10616",2.19344217964044e-18,5.85210373528069e-16,4.01746251849933e-16,"POLE/PSMB10/PSME1/MCM10/CDC45/PSMB1/UBB/PSMA2/UBC/PSMD6/PSMC2/PSMB8/RPA4/MCM4/PSMB2/RPA2/PSMC5/PSMD9/PSMA3/POLA2/POLE4/PSMB5/PSMA1/MCM3/PSMD13/POLE3/PSMD10/MCM2/SEM1/CDC6/PSMB3/CDC7/PSMC4/ORC4/PSMA5/MCM8/PSMD14/ORC1/PSMD5/PSMA4/PSMC3/UBA52/ORC3/ORC2/PSMB7/PSMD7/PSMD2/PSMD12/PSMD8/PRIM2/ORC5/POLE2/PSME3/PSMB4",54
"R-HSA-69206","G1/S Transition","71/2126","131/10616",3.25201088726006e-18,7.2303042060082e-16,4.96359556476536e-16,"POLE/PSMB10/PSME1/MCM10/CDC45/PPP2CB/PSMB1/UBB/PSMA2/UBC/PSMD6/PSMC2/PSMB8/RPA4/MCM4/PSMB2/RPA2/PSMC5/PSMD9/PCNA/PSMA3/POLA2/POLE4/CABLES1/SKP1/TFDP1/PSMB5/PSMA1/MCM3/CDC25A/PSMD13/CDKN1B/POLE3/PSMD10/MCM2/SEM1/CDC6/SKP2/PSMB3/CDC7/PSMC4/TYMS/ORC4/PSMA5/MCM8/PSMD14/ORC1/PSMD5/PSMA4/PSMC3/UBA52/ORC3/ORC2/CDK1/PSMB7/E2F5/MYC/TK1/PSMD7/PSMD2/PSMD12/PSMD8/PRIM2/ORC5/POLE2/CCNB1/CCNA2/PSME3/FBXO5/PSMB4/E2F6",71
"R-HSA-72766","Translation","122/2126","291/10616",4.56768311539623e-18,8.70469896562653e-16,5.97576588029281e-16,"RPS15A/RPS11/SSR4/SEC61G/EEF1D/EIF3H/RPL39L/MRPL4/TUFM/EIF3K/RPS27L/SPCS1/MRPL51/VARS1/MRPS25/TRAM1/RPL36AL/MRPL40/MRPL54/OXA1L/MRPL10/EIF4E/MRPS2/MRPS33/MRPL58/RPL11/MRPS26/MRPL13/RPS24/RPL14/AIMP1/EIF3L/WARS1/MRPL1/EIF3D/GSPT2/MRPL35/EEF1A2/RPL15/MARS2/CHCHD1/MTIF3/MARS1/EIF4G1/EIF4H/PPA1/TRMT112/ERAL1/RARS1/MRPL44/RPS14/MRPL24/MRPL47/RARS2/MRPL28/RPL22/IARS1/DARS1/SSR2/MRPS34/MRPL42/MRPS11/SEC11C/SSR1/SRP54/MRPS14/MRPS15/MRPS36/MRPS23/SARS1/MRRF/MRPL30/MRPL34/MRPS9/MRPS18B/LARS1/RPL27A/SRP19/MRPL22/MRPS22/EIF3I/UBA52/NARS1/RPL4/RPS23/NARS2/AARS1/RPN1/GSPT1/MRPS31/EIF2B3/MRPL14/SSR3/DARS2/SRPRB/SRP72/EIF3B/MRPL50/MRPS18C/MRPS7/MTFMT/RPS6/EIF3M/MRPS17/SPCS3/MRPL18/EIF3G/MRPL16/MRPL48/MRPL11/YARS1/EIF3J/MRPS18A/MRPL19/MRPL21/TARS1/MRPL37/GFM1/MRPL57/FARSB/MTIF2/MRPL32",122
"R-HSA-68949","Orc1 removal from chromatin","47/2126","71/10616",3.10455827036806e-17,5.17685091583874e-15,3.55390223055291e-15,"PSMB10/PSME1/RBX1/PSMB1/UBB/PSMA2/UBC/PSMD6/PSMC2/PSMB8/MCM4/PSMB2/PSMC5/PSMD9/PSMA3/SKP1/PSMB5/PSMA1/MCM3/PSMD13/PSMD10/MCM2/SEM1/CDC6/SKP2/PSMB3/PSMC4/ORC4/PSMA5/MCM8/PSMD14/ORC1/PSMD5/PSMA4/PSMC3/UBA52/ORC3/ORC2/PSMB7/PSMD7/PSMD2/PSMD12/PSMD8/ORC5/CCNA2/PSME3/PSMB4",47
"R-HSA-69052","Switching of origins to a post-replicative state","54/2126","90/10616",8.77296193060224e-17,1.23134383522719e-14,8.45316134023245e-15,"PSMB10/ANAPC16/PSME1/RBX1/PSMB1/UBB/PSMA2/UBC/PSMD6/PSMC2/PSMB8/MCM4/ANAPC11/PSMB2/PSMC5/PSMD9/PSMA3/SKP1/PSMB5/PSMA1/MCM3/PSMD13/PSMD10/MCM2/SEM1/CDC6/SKP2/PSMB3/UBE2E1/ANAPC10/PSMC4/ORC4/PSMA5/UBE2D1/MCM8/PSMD14/ORC1/PSMD5/PSMA4/PSMC3/UBA52/ORC3/ORC2/ANAPC4/PSMB7/CDC26/PSMD7/PSMD2/PSMD12/PSMD8/ORC5/CCNA2/PSME3/PSMB4",54
"R-HSA-69242","S Phase","79/2126","161/10616",9.23046353243773e-17,1.23134383522719e-14,8.45316134023245e-15,"POLE/PSMB10/ANAPC16/PSME1/POLD4/RBX1/CDC45/POLD1/PSMB1/CDCA5/POLD2/UBB/PSMA2/UBC/PSMD6/PSMC2/PSMB8/MCM4/RFC3/ANAPC11/PSMB2/RPA2/PSMC5/PSMD9/PCNA/PSMA3/POLA2/POLE4/CABLES1/GINS1/SKP1/TFDP1/PSMB5/PSMA1/MCM3/CDC25A/PSMD13/CDKN1B/POLE3/PSMD10/MCM2/SEM1/CDC6/SKP2/PSMB3/GINS2/UBE2E1/ANAPC10/PSMC4/ORC4/PSMA5/UBE2D1/MCM8/PSMD14/ORC1/PSMD5/PSMA4/PSMC3/UBA52/ORC3/ORC2/ESCO1/ANAPC4/PSMB7/E2F5/MYC/CDC26/RFC5/SMC3/PSMD7/PSMD2/PSMD12/PSMD8/PRIM2/ORC5/POLE2/CCNA2/PSME3/PSMB4",79
