"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-69620","Cell Cycle Checkpoints","155/2262","290/10616",3.66488885172562e-34,4.88163195049852e-31,3.24439107821184e-31,"BIRC5/NUP37/PSMB5/H2BC14/CCNB2/CDC6/CDC20/PSMB2/RANGAP1/PSMC3/MAPRE1/PSMD9/AURKB/CDK1/CDC45/RFC5/CENPM/CHEK1/PLK1/PSMD7/SEH1L/UBE2N/RFC3/PSMA2/ANAPC5/PSMB1/PSMD13/PSMA3/PSMC5/PSMB3/PSMD8/PSMB7/YWHAH/PSME1/UBB/YWHAB/MCM2/ZWINT/UBE2V2/ERCC6L/RBBP8/ZW10/MCM4/MCM10/EXO1/ZWILCH/PSMD10/PPP2CB/CCNB1/RPA2/ANAPC11/PSMA4/PSME3/PSMC4/PSMD6/MAD2L1/H2BC7/PSMC2/PSMA1/SEC13/NUP107/PPP1CC/MCM6/ANAPC15/CCNA2/ORC1/PPP2R5B/ANAPC16/CDC25A/CENPU/H2BU1/BLM/PSMA7/CDCA8/CENPA/MAD1L1/SEM1/ORC5/ITGB3BP/PSMD12/CENPH/BUB3/PSMD14/NDC80/SPC24/GTSE1/KIF2C/MCM8/BUB1/PSMD5/PSMD2/RMI1/PSMB10/ORC3/CENPF/SGO2/UBE2D1/DYNLL1/PPP2R5C/NBN/BABAM1/NUF2/SPDL1/KIF2A/UBE2E1/H4C5/PSMA5/PSMB6/PSMD1/MDM4/MCM3/H4C13/H2BC4/DBF4/CENPP/ORC2/DYNC1LI1/SPC25/MRE11/XPO1/H4C9/BRIP1/WRN/H2BC8/DYNC1LI2/RFC2/NUP133/H4C2/PSMB4/ATM/ZNF385A/RAD1/ANAPC10/CENPQ/CDC26/BRCA1/CENPT/PSMB8/ANAPC4/CENPE/H2BC15/ORC4/UBC/CLSPN/CDC7/H2BC12/KNTC1/PKMYT1/H2BC5/UBA52/H4C3/INCENP/CDKN1B/H4C1/H4C4",155
"R-HSA-69306","DNA Replication","82/2262","127/10616",4.77083866967684e-26,2.30845742184186e-23,1.53422845880275e-23,"PSMB5/PCNA/CDC6/PSMB2/GINS3/GINS2/PSMC3/PRIM1/RBX1/PSMD9/CDC45/RFC5/PSMD7/RFC3/PSMA2/POLE3/ANAPC5/PSMB1/PSMD13/PSMA3/PSMC5/PSMB3/PSMD8/PSMB7/PSME1/UBB/MCM2/GINS1/MCM4/MCM10/PSMD10/POLD1/RPA2/ANAPC11/PSMA4/PSME3/PSMC4/PSMD6/POLE2/PSMC2/PSMA1/MCM6/ANAPC15/CCNA2/ORC1/ANAPC16/PSMA7/SEM1/ORC5/PSMD12/PSMD14/SKP1/MCM8/PSMD5/PSMD2/PSMB10/ORC3/POLA2/UBE2D1/UBE2E1/PSMA5/PSMB6/POLD2/PSMD1/SKP2/MCM3/DBF4/ORC2/POLE4/RFC2/RPA4/PSMB4/ANAPC10/CDC26/POLD4/PSMB8/ANAPC4/ORC4/UBC/PRIM2/CDC7/UBA52",82
"R-HSA-72766","Translation","142/2262","291/10616",5.19922842757176e-26,2.30845742184186e-23,1.53422845880275e-23,"PPA1/RPS15A/EIF3K/MRPL51/MRPS35/MRPS7/AIMP2/EIF3H/MRPL58/MRPS16/MRPS2/SEC61G/MRPS12/RPS11/SSR4/TSFM/MRPS11/AIMP1/EIF3M/MRPL10/MARS2/RPL22/MRPL50/NARS1/MRPL57/MRPL16/EIF3D/RPL39L/MRPL21/OXA1L/EIF3I/IARS1/MRPS23/MRPL46/FARSB/EIF3L/MRPS34/EPRS1/MRPL13/MRPL42/GSPT1/CHCHD1/EIF3B/EIF4E/MRPL1/MRPS9/EIF2S1/TRMT112/MRPL4/EIF3J/MRPS18B/MRPS26/MRPL35/RPS24/MRPL14/MRPL2/MRPS33/SPCS1/RPL11/MRPL47/MRPL28/RARS1/RPL36AL/MRPL11/MRRF/MRPS31/SRPRB/RPS27L/VARS1/RPL15/MRPL54/YARS1/TUFM/MRPL34/MTFMT/MRPL32/AARS1/MRPL22/TARS1/QARS1/MRPL44/MRPL24/RPS23/MTIF2/MRPS17/DARS2/SSR3/SEC11C/IARS2/EIF5B/MRPS22/MRPL30/SRP72/MRPS28/EEF1D/GFM1/LARS1/MRPL40/EIF3G/RPL14/MRPL18/ERAL1/RPL9/MRPS30/RPN1/EEF1A2/MRPL41/MRPL37/EIF2B3/NARS2/MRPL48/RPL4/MTIF3/DARS1/RPS6/GSPT2/SARS1/RPS14/MRPS14/SSR1/MRPS27/WARS1/MARS1/MRPL19/RPS25/SRP54/MRPS36/MRPS10/MRPS25/MRPS18A/MRPS15/RPL41/EIF4H/EIF4G1/SSR2/MRPS18C/RPL27A/TRAM1/RARS2/SPCS3/UBA52/SRP19",142
"R-HSA-69239","Synthesis of DNA","78/2262","119/10616",1.7869732255601e-25,5.95062084111514e-23,3.9548539018317e-23,"PSMB5/PCNA/CDC6/PSMB2/GINS3/GINS2/PSMC3/PRIM1/RBX1/PSMD9/CDC45/RFC5/PSMD7/RFC3/PSMA2/POLE3/ANAPC5/PSMB1/PSMD13/PSMA3/PSMC5/PSMB3/PSMD8/PSMB7/PSME1/UBB/MCM2/GINS1/MCM4/PSMD10/POLD1/RPA2/ANAPC11/PSMA4/PSME3/PSMC4/PSMD6/POLE2/PSMC2/PSMA1/MCM6/ANAPC15/CCNA2/ORC1/ANAPC16/PSMA7/SEM1/ORC5/PSMD12/PSMD14/SKP1/MCM8/PSMD5/PSMD2/PSMB10/ORC3/POLA2/UBE2D1/UBE2E1/PSMA5/PSMB6/POLD2/PSMD1/SKP2/MCM3/ORC2/POLE4/RFC2/PSMB4/ANAPC10/CDC26/POLD4/PSMB8/ANAPC4/ORC4/UBC/PRIM2/UBA52",78
"R-HSA-5368287","Mitochondrial translation","66/2262","93/10616",8.98579264866675e-25,2.39381516160482e-22,1.59095823526921e-22,"MRPL51/MRPS35/MRPS7/MRPL58/MRPS16/MRPS2/MRPS12/TSFM/MRPS11/MRPL10/MRPL50/MRPL57/MRPL16/MRPL21/OXA1L/MRPS23/MRPL46/MRPS34/MRPL13/MRPL42/CHCHD1/MRPL1/MRPS9/MRPL4/MRPS18B/MRPS26/MRPL35/MRPL14/MRPL2/MRPS33/MRPL47/MRPL28/MRPL11/MRRF/MRPS31/MRPL54/TUFM/MRPL34/MTFMT/MRPL32/MRPL22/MRPL44/MRPL24/MTIF2/MRPS17/MRPS22/MRPL30/MRPS28/GFM1/MRPL40/MRPL18/ERAL1/MRPS30/MRPL41/MRPL37/MRPL48/MTIF3/MRPS14/MRPS27/MRPL19/MRPS36/MRPS10/MRPS25/MRPS18A/MRPS15/MRPS18C",66
"R-HSA-5368286","Mitochondrial translation initiation","62/2262","87/10616",1.66643324798671e-23,3.17098440902614e-21,2.107474227905e-21,"MRPL51/MRPS35/MRPS7/MRPL58/MRPS16/MRPS2/MRPS12/MRPS11/MRPL10/MRPL50/MRPL57/MRPL16/MRPL21/OXA1L/MRPS23/MRPL46/MRPS34/MRPL13/MRPL42/CHCHD1/MRPL1/MRPS9/MRPL4/MRPS18B/MRPS26/MRPL35/MRPL14/MRPL2/MRPS33/MRPL47/MRPL28/MRPL11/MRPS31/MRPL54/MRPL34/MTFMT/MRPL32/MRPL22/MRPL44/MRPL24/MTIF2/MRPS17/MRPS22/MRPL30/MRPS28/MRPL40/MRPL18/ERAL1/MRPS30/MRPL41/MRPL37/MRPL48/MTIF3/MRPS14/MRPS27/MRPL19/MRPS36/MRPS10/MRPS25/MRPS18A/MRPS15/MRPS18C",62
"R-HSA-5389840","Mitochondrial translation elongation","62/2262","87/10616",1.66643324798671e-23,3.17098440902614e-21,2.107474227905e-21,"MRPL51/MRPS35/MRPS7/MRPL58/MRPS16/MRPS2/MRPS12/TSFM/MRPS11/MRPL10/MRPL50/MRPL57/MRPL16/MRPL21/OXA1L/MRPS23/MRPL46/MRPS34/MRPL13/MRPL42/CHCHD1/MRPL1/MRPS9/MRPL4/MRPS18B/MRPS26/MRPL35/MRPL14/MRPL2/MRPS33/MRPL47/MRPL28/MRPL11/MRPS31/MRPL54/TUFM/MRPL34/MRPL32/MRPL22/MRPL44/MRPL24/MRPS17/MRPS22/MRPL30/MRPS28/GFM1/MRPL40/MRPL18/ERAL1/MRPS30/MRPL41/MRPL37/MRPL48/MRPS14/MRPS27/MRPL19/MRPS36/MRPS10/MRPS25/MRPS18A/MRPS15/MRPS18C",62
"R-HSA-69481","G2/M Checkpoints","94/2262","167/10616",2.84734350021562e-23,4.740826927859e-21,3.15081037326491e-21,"PSMB5/H2BC14/CCNB2/CDC6/PSMB2/PSMC3/PSMD9/CDK1/CDC45/RFC5/CHEK1/PSMD7/UBE2N/RFC3/PSMA2/PSMB1/PSMD13/PSMA3/PSMC5/PSMB3/PSMD8/PSMB7/YWHAH/PSME1/UBB/YWHAB/MCM2/UBE2V2/RBBP8/MCM4/MCM10/EXO1/PSMD10/CCNB1/RPA2/PSMA4/PSME3/PSMC4/PSMD6/H2BC7/PSMC2/PSMA1/MCM6/ORC1/CDC25A/H2BU1/BLM/PSMA7/SEM1/ORC5/PSMD12/PSMD14/GTSE1/MCM8/PSMD5/PSMD2/RMI1/PSMB10/ORC3/NBN/BABAM1/H4C5/PSMA5/PSMB6/PSMD1/MCM3/H4C13/H2BC4/DBF4/ORC2/MRE11/H4C9/BRIP1/WRN/H2BC8/RFC2/H4C2/PSMB4/ATM/RAD1/BRCA1/PSMB8/H2BC15/ORC4/UBC/CLSPN/CDC7/H2BC12/PKMYT1/H2BC5/UBA52/H4C3/H4C1/H4C4",94
"R-HSA-68886","M Phase","166/2262","391/10616",6.57919995678597e-22,9.73721593604324e-20,6.4714703668503e-20,"BIRC5/NUP37/PSMB5/H2BC14/CCNB2/SET/PTTG1/CDC20/PSMB2/RANGAP1/CDCA5/PSMC3/CETN2/MAPRE1/PSMD9/AURKB/CDK1/CENPM/RAE1/PLK1/PSMD7/SEH1L/PSMA2/HAUS4/ANAPC5/EMD/PSMB1/TUBB4A/PSMD13/PSMA3/PSMC5/PSMB3/PSMD8/ARPP19/NUP93/PSMB7/PSME1/UBB/TUBGCP6/LMNB1/ZWINT/H2AZ1/ERCC6L/ZW10/ZWILCH/PSMD10/NEK2/NINL/PPP2CB/CCNB1/ANAPC11/PSMA4/PSME3/PSMC4/PSMD6/NCAPD3/MAD2L1/NUP35/H2BC7/PSMC2/H3C2/PSMA1/SEC13/NUP107/PPP1CC/GORASP1/ANAPC15/CEP164/DCTN2/PPP2R5B/ANAPC16/CENPU/H2BU1/PSMA7/NCAPG/CDCA8/CENPA/MAD1L1/SEM1/ITGB3BP/PSMD12/KIF23/CENPH/NUP155/NCAPH/BUB3/TUBGCP5/ACTR1A/TUBGCP4/PSMD14/NDC80/SMC2/SPC24/NEDD1/FBXO5/MAU2/KIF2C/SSNA1/BUB1/PSMD5/PSMD2/NME7/PSMB10/NDC1/CENPF/SGO2/UBE2D1/DYNLL1/PPP2R5C/H2AC8/KIF20A/SMC3/NUF2/H3C12/SPDL1/KIF2A/UBE2E1/TUBB/H4C5/PSMA5/PSMB6/PLK4/PSMD1/H4C13/H2BC4/H3C1/CENPP/PCNT/DYNC1LI1/SPC25/XPO1/H4C9/NUP54/H3C11/PPP2R2A/H2BC8/DYNC1LI2/NUP133/H4C2/PSMB4/TMPO/ANAPC10/NUP210/CENPQ/CDC26/CENPT/PSMB8/ANAPC4/CENPE/H2BC15/CEP290/UBC/ESPL1/NCAPG2/H2BC12/KNTC1/CENPJ/MASTL/H2BC5/UBA52/H4C3/INCENP/MZT2B/H3C7/H4C1/H4C4",166
"R-HSA-5419276","Mitochondrial translation termination","60/2262","87/10616",1.30247709222732e-21,1.63882646102906e-19,1.08918369979883e-19,"MRPL51/MRPS35/MRPS7/MRPL58/MRPS16/MRPS2/MRPS12/MRPS11/MRPL10/MRPL50/MRPL57/MRPL16/MRPL21/OXA1L/MRPS23/MRPL46/MRPS34/MRPL13/MRPL42/CHCHD1/MRPL1/MRPS9/MRPL4/MRPS18B/MRPS26/MRPL35/MRPL14/MRPL2/MRPS33/MRPL47/MRPL28/MRPL11/MRRF/MRPS31/MRPL54/MRPL34/MRPL32/MRPL22/MRPL44/MRPL24/MRPS17/MRPS22/MRPL30/MRPS28/MRPL40/MRPL18/ERAL1/MRPS30/MRPL41/MRPL37/MRPL48/MRPS14/MRPS27/MRPL19/MRPS36/MRPS10/MRPS25/MRPS18A/MRPS15/MRPS18C",60
