"","U7 NRO","U6 NRO","U5 NRO","U4 NRO","T7 NRO","T6 NRO","T5 NRO","T4 NRO","T4 Total","T5 Total","T6 Total","T7 Total","U4 Total","U5 Total","U6 Total","U7 Total"
"CHAF1A",9.18273157822985,9.23302448546674,9.24784256284271,9.01627635420665,7.54163001592208,7.6635175948673,7.61646904579915,7.80203787716684,7.26850489745761,7.16366553416758,7.13237521068638,7.1402387064992,8.54400677075669,8.58147855505673,8.67726115672845,8.55179293193897
"GJC1",8.77216985868108,8.90646037082271,9.02523579437316,8.5439723265812,6.5984647045687,6.60111300329539,6.42471224734808,6.65878765799889,6.45790979566456,6.25523130076126,6.31747877667316,5.86059961701607,8.02626477669708,8.25559950658993,8.50382751014789,8.30907533890928
"FARSB",7.96294945040771,8.05346704637424,7.94091531628218,6.98386700898273,5.64151118658239,5.84945530274956,5.82710440033936,5.7137416451593,7.19095237738276,6.94131234840305,7.54728778474376,7.53442146864858,9.34681302656888,8.89950769466771,10.0114951706345,9.93347235272442
"IL18BP",6.8495022039999,6.99132778002522,6.93750095044308,6.90106268767773,7.19358188406127,7.24622023318317,7.24656919766533,7.24498713240735,5.80312811386463,5.94627582193278,5.77019915627333,5.85026778784512,5.62724916297555,5.81146714061654,5.51528867727006,5.39631374891217
"RWDD2B",5.9890735238693,6.04199895527896,6.06246589692676,5.61220909293828,5.07505892415992,5.50623408550979,5.6397941482324,5.46480960830477,7.11645133733692,7.02662405088657,7.50764915169137,7.22986028842677,7.60236736015413,7.50770795887356,7.73383115652875,7.68145986556799
"ARPC1B",9.24549955495863,9.33651387221234,9.15080116541493,9.07339022244414,9.91344783537538,9.90538421969568,9.84045219513751,9.79835437853075,11.4357678055619,11.4716472524147,11.4289240655279,11.3887401546125,10.5877940601975,10.0250371038243,10.3259917137852,10.4716320175303
"NUBP2",8.70093721916776,8.85721866280938,8.761505311535,8.71579303553225,7.76390971129503,7.68733537232475,7.75559525703087,7.72618933963558,8.46919559295202,8.47175786839729,8.35230504445196,8.32231385510747,9.03253770445076,9.31775416350698,9.05918673747564,9.13421601500264
"TSFM",8.02464889633478,8.11719105991857,8.06869963328873,7.73881868827621,5.64786656082369,6.47168102980632,6.0886863573831,6.41063113055749,7.76174173445722,7.65789818264153,7.92227476045205,7.73911979881638,9.19871729274143,9.04371846962336,9.72407431343087,9.40397326793487
"PPIF",8.76098013825063,8.79593775731943,8.76556729914157,8.30796485908786,7.18685779390706,6.87993087979888,6.67384518192678,6.84266737064186,7.34697290919846,7.55910451672676,7.22507826984449,7.20220349217077,9.37123044498271,9.41509011390193,9.65727849157132,9.63193023740155
"TRAP1",10.8334355801119,10.8283181807471,10.7857896400603,10.2036913858621,8.22630692899487,8.26597600557977,8.18037815654549,8.29065392754131,8.08572360241231,8.09354026619718,8.09417740168556,8.11529762760632,10.5511010463633,10.6379877700181,10.8490173221056,10.8044930494189
