"","U7 NRO","U6 NRO","U5 NRO","U4 NRO","T7 NRO","T6 NRO","T5 NRO","T4 NRO","T4 Total","T5 Total","T6 Total","T7 Total","U4 Total","U5 Total","U6 Total","U7 Total"
"3907011",8.39291381932127,8.32859701055405,8.31521847827078,7.95714348846449,7.44570550047852,7.3061558462139,7.28505097404355,7.25184005699782,7.68275988189581,7.82437404970179,7.58322776476359,7.65816594198991,8.62218684689326,8.74192052398857,8.70996789993128,8.76619798591338
"3282016",8.24823138245291,8.30311650567954,8.20237202296115,8.0265717602574,8.01157160447243,8.35514472292641,8.23801751521984,8.56562792636809,9.27378011662055,8.91434470145586,9.45391463759842,9.23782099504554,9.18605721241054,8.63739950523515,9.41276198349584,9.0630318258835
"2512601",5.93488839544935,5.95649184235684,5.78348122753632,5.297461977752,7.01572749321548,7.34851801776099,6.90530826463972,7.41859138855442,8.30201491671682,8.13118693358203,8.47926002309211,8.41004335082457,7.43472736612655,6.42090479382827,7.68309990311702,7.39835723143572
"2878347",7.54509613064659,7.50549193003747,7.48454630735599,7.46438644317292,7.47865305001922,7.3076303898413,7.59464158950299,7.49507092629786,8.71093299685296,8.70662518837806,8.90736505472807,8.82002840351798,8.31395490918199,7.95660927861341,8.26228780958609,8.62634153040106
"3964299",5.64040088599697,5.58051316083663,5.40823649674566,5.99321125185959,6.27132805671555,5.98712095539723,6.34520854730724,6.08606724892382,5.13852411395813,5.554461221342,4.85939267263839,5.32870484141394,5.17338306364854,5.36098021284077,4.64771087712144,4.86974490166593
"2479350",6.10024357880177,6.4869893991969,6.22931904193452,5.92655801164375,6.03626306885019,6.30984733396575,6.09258552677341,6.48000352412157,5.07332379991712,4.8370794338224,4.72123588292987,4.62013420091256,5.28473127404574,5.35270305194709,5.22713669967349,5.28987397182271
"2461654",4.51338025916644,4.64469220973195,4.79524282812944,5.09495889005207,5.29731934062504,5.08450293927737,4.7326281276363,4.25084444483728,4.46784335256394,5.28158360362861,4.05376203917261,3.64012173781086,4.21908187176966,5.3871831431388,4.12264768249956,4.52998181842918
"3657286",7.31046663986175,7.51639545458888,7.45764846197325,7.56704608714055,7.78851396787141,7.75901575382317,7.68190827836545,7.91665491343504,6.74012231826127,6.5746533774898,6.72616865619816,6.72254737388733,6.6282574646227,6.43034107045746,6.40159954373326,6.31175733195925
"2855443",6.07052665641405,6.35000510740237,5.65674695361358,5.52892966239793,6.59151167618588,6.54833039853685,6.43947640932813,6.27803697150828,5.28257783238301,4.79350106935747,4.96061411077488,5.48836310363054,5.24257719736351,5.55831573884357,5.46660928930317,5.08633167505101
"4035833",6.67276921920018,6.52110341287036,6.47728657441957,6.08011859205223,7.40103393557342,7.98512652334853,7.60746358150779,8.11083329565978,9.47262819039981,8.95392308633426,9.73516955327014,9.76042070741244,8.33459264894456,7.0891968088506,8.75148819235833,7.85894608092594
