"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","2316218","CALML6","163688","calmodulin like 6",0.912687885838798,6.04129836556827,4.49597970711235,0.000372680767051734,0.000460163334966744,-0.769197491918782
"2","2318086","KCNAB2","8514","potassium voltage-gated channel subfamily A regulatory beta subunit 2",-1.34082153397096,8.49410771507636,-7.512389271038,1.29743833268613e-06,2.24264482340129e-06,5.05736735303083
"3","2318170","RNF207","388591","ring finger protein 207",1.41289292267087,7.66232085589968,12.6181947214182,1.08028413204455e-09,4.82307342367694e-09,12.4103784511372
"4","2318637","VAMP3","9341","vesicle associated membrane protein 3",-1.68479890775142,7.41136380208465,-13.0447709573213,6.65599741572497e-10,3.27521593265714e-09,12.9104368872054
"5","2318736","PARK7","11315","Parkinsonism associated deglycase",-2.57789563565405,9.53755244084033,-13.5785624332472,3.6984157635608e-10,2.06716032219788e-09,13.5164233679276
"6","2319225","H6PD","9563","hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase",2.03485075571526,6.90481974822155,14.8263047360829,1.00785164879684e-10,7.61005186828972e-10,14.8537184687957
"7","2319802","PGD","5226","phosphogluconate dehydrogenase",-1.90555664949335,9.82706261845557,-11.4476394353452,4.38860892397784e-09,1.53989817705362e-08,10.9602796791687
"8","2320727","TNFRSF1B","7133","TNF receptor superfamily member 1B",1.10205599993957,8.58669124789538,10.7091054303595,1.12867686136767e-08,3.40089381849139e-08,9.98134370717566
"9","2322362","SZRD1","26099","SUZ RNA binding domain containing 1",-1.20426477659486,8.83255659448661,-7.80082791523611,8.0455078310145e-07,1.44811229937778e-06,5.55300637317294
"10","2322389","NECAP2","55707","NECAP endocytosis associated 2",0.830574058657744,9.1615427791166,5.59272498593474,4.15085402070407e-05,5.68085105412995e-05,1.47586082081335
"11","2323559","MRTO4","51154","MRT4 homolog, ribosome maturation factor",-3.45509803971199,8.78583500455363,-22.197392872611,2.20184731580784e-13,1.45328490780336e-11,21.0563678574578
"12","2324416","ALPL","249","alkaline phosphatase, biomineralization associated",-0.943757113090914,6.55619431194061,-6.16449767590027,1.40309311257918e-05,2.04406043977413e-05,2.5934442962124
"13","2324743","ZBTB40","9923","zinc finger and BTB domain containing 40",0.662922309007594,7.01026481116899,5.12524430280971,0.000103998615099994,0.000136367811561991,0.533155800264294
"14","2325002","KDM1A","23028","lysine demethylase 1A",-1.57234679444908,8.89076693407655,-7.26710110993436,1.96476342989206e-06,3.26657534824471e-06,4.62717196325195
"15","2325192","RPL11","6135","ribosomal protein L11",-3.61038477816209,10.8023594918934,-12.061545291378,2.07509102880957e-09,8.2935679655806e-09,11.7355514841563
"16","2325274","PITHD1","57095","PITH domain containing 1",-1.99928748606805,7.89367959171001,-10.3573508988914,1.80188114157102e-08,5.04923322045086e-08,9.49617738167641
"17","2326311","ZNF593","51042","zinc finger protein 593",-1.92272938696264,7.38089639104184,-16.5136679858874,2.00708739632803e-11,2.39514615958079e-10,16.5055899008081
