"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","2316218","CALML6","163688","calmodulin like 6",0.944857221607029,6.04129836556827,4.65444864600083,0.000269196831937,0.000420627230781629,-0.391439375915577
"2","2318086","KCNAB2","8514","potassium voltage-gated channel subfamily A regulatory beta subunit 2",1.03135096692423,8.49410771507636,5.77847964273825,2.90415800058838e-05,5.35893268152925e-05,1.88893038049484
"3","2318170","RNF207","388591","ring finger protein 207",1.69433706964012,7.66232085589968,15.1317022864134,7.4388085511423e-11,1.31269147581277e-09,15.1889553043108
"4","2318637","VAMP3","9341","vesicle associated membrane protein 3",-1.77564236641009,7.41136380208465,-13.7481380509971,3.08123794736312e-10,3.30803874642123e-09,13.7325206360769
"5","2318736","PARK7","11315","Parkinsonism associated deglycase",-0.750446146075591,9.53755244084033,-3.95282869730753,0.00115374266202528,0.00164544288495308,-1.86445218860411
"6","2319225","H6PD","9563","hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase",-0.470705965294278,6.90481974822155,-3.42965205823752,0.00346796428456941,0.00464892612442644,-2.9637424434874
"7","2319802","PGD","5226","phosphogluconate dehydrogenase",0.094923814555596,9.82706261845557,0.570255207657539,0.576481152832644,0.600255261808962,-7.45717952523465
"8","2320727","TNFRSF1B","7133","TNF receptor superfamily member 1B",0.226432779078008,8.58669124789538,2.20033510472124,0.0429298694888363,0.0505032944083,-5.38779974256551
"9","2322362","SZRD1","26099","SUZ RNA binding domain containing 1",-1.23486305920659,8.83255659448661,-7.99903344428163,5.82971511526263e-07,1.59540639585995e-06,5.92926431552192
"10","2322389","NECAP2","55707","NECAP endocytosis associated 2",-1.35238241651522,9.1615427791166,-9.10635584213471,1.05365587376621e-07,3.74461380715724e-07,7.70300831853007
"11","2323559","MRTO4","51154","MRT4 homolog, ribosome maturation factor",0.997340186120855,8.78583500455363,6.4074453704396,8.96942087521732e-06,1.82732608926937e-05,3.10017990330687
"12","2324416","ALPL","249","alkaline phosphatase, biomineralization associated",1.04519946397252,6.55619431194061,6.82710580629034,4.22060951649337e-06,9.29143201436094e-06,3.87921204392717
"13","2324743","ZBTB40","9923","zinc finger and BTB domain containing 40",0.860082219182853,7.01026481116899,6.64954465088661,5.78918006496337e-06,1.23509255348665e-05,3.5524937766446
"14","2325002","KDM1A","23028","lysine demethylase 1A",-0.221366383187425,8.89076693407655,-1.02311518975503,0.321580559447395,0.344745659776548,-7.09038886467977
"15","2325192","RPL11","6135","ribosomal protein L11",-2.62718884852041,10.8023594918934,-8.77689200250928,1.72626349311945e-07,5.65281811118991e-07,7.19109134455727
"16","2325274","PITHD1","57095","PITH domain containing 1",-0.148605096872419,7.89367959171001,-0.769851831913582,0.452683333083444,0.475954532572799,-7.31933918515955
"17","2326311","ZNF593","51042","zinc finger protein 593",-0.497788958033286,7.38089639104184,-4.27533985580167,0.000588320890532809,0.000879119502139026,-1.1850247699741
"18","2326410","CEP85","64793","centrosomal protein 85",1.56462538513932,7.09409534286045,10.6435453189803,1.23038829931472e-08,6.34429797717069e-08,9.9282955383728
"19","2326448","SH3BGRL3","83442","SH3 domain binding glutamate rich protein like 3",-3.49091101397262,8.8567906020068,-26.3851765799989,1.51420660347046e-14,1.0766991202988e-11,23.6624297653627
"20","2326463","CD52","1043","CD52 molecule",-3.62373979211045,10.8760373515168,-19.2564068710562,1.95063902506157e-12,1.2449905194171e-10,18.8798046105116
