"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","2316218","CALML6","163688","calmodulin like 6",-0.0321693357682307,6.04129836556827,-0.112054461295484,0.912183770481006,0.924046702747915,-7.42130187401573
"2","2318086","KCNAB2","8514","potassium voltage-gated channel subfamily A regulatory beta subunit 2",-2.37217250089519,8.49410771507636,-9.39806353679267,6.87599457269074e-08,2.14056259614123e-07,8.29271757358536
"3","2318170","RNF207","388591","ring finger protein 207",-0.281444146969249,7.66232085589968,-1.77731824377179,0.094661771750422,0.115905266347256,-5.90254314946583
"4","2318637","VAMP3","9341","vesicle associated membrane protein 3",0.090843458658675,7.41136380208465,0.497355641601642,0.625750979155253,0.663060588910965,-7.297951384869
"5","2318736","PARK7","11315","Parkinsonism associated deglycase",-1.82744948957846,9.53755244084033,-6.80642159857906,4.37790448627431e-06,9.04486925747757e-06,4.01342115335864
"6","2319225","H6PD","9563","hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase",2.50555672100954,6.90481974822155,12.9089108463126,7.75475397961937e-10,5.24771798879603e-09,12.8850186379746
"7","2319802","PGD","5226","phosphogluconate dehydrogenase",-2.00048046404895,9.82706261845557,-8.49793479765271,2.64833220762882e-07,6.99029863888184e-07,6.90399730190377
"8","2320727","TNFRSF1B","7133","TNF receptor superfamily member 1B",0.875623220861561,8.58669124789538,6.01660919681771,1.84965147207739e-05,3.51952912644248e-05,2.53164088520231
"9","2322362","SZRD1","26099","SUZ RNA binding domain containing 1",0.0305982826117308,8.83255659448661,0.140152473656757,0.8903009796173,0.904632774459876,-7.4175524486246
"10","2322389","NECAP2","55707","NECAP endocytosis associated 2",2.18295647517297,9.1615427791166,10.3938197307371,1.71561979541691e-08,6.54940987593464e-08,9.71973504496942
"11","2323559","MRTO4","51154","MRT4 homolog, ribosome maturation factor",-4.45243822583285,8.78583500455363,-20.2266750964053,9.19497375266673e-13,5.80393084629532e-11,19.6016503459836
"12","2324416","ALPL","249","alkaline phosphatase, biomineralization associated",-1.98895657706343,6.55619431194061,-9.18645092074375,9.36247530504147e-08,2.79804261973525e-07,7.97500507974908
"13","2324743","ZBTB40","9923","zinc finger and BTB domain containing 40",-0.19715991017526,7.01026481116899,-1.0778431126902,0.29719784389758,0.336542315653894,-6.83418355116305
"14","2325002","KDM1A","23028","lysine demethylase 1A",-1.35098041126166,8.89076693407655,-4.41516478579213,0.000440310924051042,0.000709497488094571,-0.703295812390869
"15","2325192","RPL11","6135","ribosomal protein L11",-0.983195929641676,10.8023594918934,-2.32260061440574,0.0338135868433301,0.0435272649203346,-4.96953036220642
"16","2325274","PITHD1","57095","PITH domain containing 1",-1.85068238919563,7.89367959171001,-6.7793856048797,4.5927788270595e-06,9.45678475020518e-06,3.96409250086084
"17","2326311","ZNF593","51042","zinc finger protein 593",-1.42494042892936,7.38089639104184,-8.65380481116967,2.08267634721024e-07,5.627068713754e-07,7.15156583914707
"18","2326410","CEP85","64793","centrosomal protein 85",-2.18301343940829,7.09409534286045,-10.5006782879151,1.48703038709786e-08,5.81625881107398e-08,9.86650444564508
"19","2326448","SH3BGRL3","83442","SH3 domain binding glutamate rich protein like 3",2.2800324652525,8.8567906020068,12.1856095851649,1.79033966531711e-09,1.00067687247724e-08,12.0329158093865
"20","2326463","CD52","1043","CD52 molecule",2.29729830425267,10.8760373515168,8.63218308194444,2.15288798682575e-07,5.79964894758576e-07,7.11740550666624
"21","2326993","SYTL1","84958","synaptotagmin like 1",1.89785122416236,7.58876276704798,10.3960281087342,1.71053804195175e-08,6.54239281183718e-08,9.72278029407261
"22","2327219","STX12","23673","syntaxin 12",1.98602376045301,7.63704140489179,9.45909143408286,6.29613978603859e-08,1.98366331813144e-07,8.38337331696046
"23","2327283","THEMIS2","9473","thymocyte selection associated family member 2",2.92545638095115,7.43627229005382,16.3559269434843,2.31908424106701e-11,4.16184676791486e-10,16.4227365242215
"24","2327375","ATP5IF1","93974","ATP synthase inhibitory factor subunit 1",0.173789078605106,7.8230086580514,0.713269006477443,0.486025406984566,0.526743343685759,-7.16273707917146
"25","2328236","ZCCHC17","51538","zinc finger CCHC-type containing 17",-0.612778352843727,7.45407520302093,-2.34558456302539,0.0323160837752844,0.0416875203316829,-4.92726533250924
"26","2328465","KHDRBS1","10657","KH RNA binding domain containing, signal transduction associated 1",-0.850018479840708,9.05177360536611,-4.8903818688061,0.000166632443075495,0.000281254667634572,0.28302611621643
"27","2328750","CCDC28B","79140","coiled-coil domain containing 28B",0.788330314229482,7.08282636744651,4.96413061695821,0.000143607721607374,0.00024533264993215,0.434476490206439
"28","2328808","EIF3I","8668","eukaryotic translation initiation factor 3 subunit I",-1.73160684463695,10.8295408876882,-8.1595987387694,4.5070921171232e-07,1.11791763148971e-06,6.35602755258553
"29","2328909","TSSK3","81629","testis specific serine kinase 3",1.07835735542451,5.43822405692522,3.53443370126319,0.0027814612684706,0.00404887860988901,-2.55233963142529
"30","2328990","RBBP4","5928","RB binding protein 4, chromatin remodeling factor",-1.40823990582743,4.45109036506207,-2.85340243557935,0.0115611717846949,0.0156989332668545,-3.94935869718333
"31","2329341","ZSCAN20","7579","zinc finger and SCAN domain containing 20",0.548051602829039,6.20946576000866,1.30017904767474,0.212086243582049,0.247040323816062,-6.57728259302065
"32","2330002","AGO4","192670","argonaute RISC component 4",1.82192204284491,6.52692973824465,7.49672730593664,1.33195894378212e-06,3.01192198467346e-06,5.23920264312117
"33","2330773","CDCA8","55143","cell division cycle associated 8",-2.5871370090114,6.89576446245931,-9.7071595836111,4.41931982415399e-08,1.45495772268235e-07,8.7474762633858
"34","2330899","UTP11","51118","UTP11 small subunit processome component",-2.39777334554514,7.37303504959405,-6.24160053374237,1.21628543904027e-05,2.38757157765492e-05,2.96226271215327
"35","2331178","NDUFS5","4725","NADH:ubiquinone oxidoreductase subunit S5",-2.62504434104272,9.28177080053035,-6.74838196999012,4.85279555027065e-06,9.95856755019107e-06,3.90740200520504
"36","2331505","MACF1","23499","microtubule actin crosslinking factor 1",0.574033900238298,5.3068375169287,1.86646055496268,0.0805453697943609,0.0993184906760374,-5.76035578686745
"37","2331727","CAP1","10487","cyclase associated actin cytoskeleton regulatory protein 1",2.06387054611767,10.8691663164853,8.57922218025204,2.33558041553728e-07,6.2412845994759e-07,7.03348577733247
"38","2332144","CTPS1","1503","CTP synthase 1",-3.75668894309935,8.15445900150931,-12.9512124491725,7.39341709421965e-10,5.04046554598476e-09,12.9335299208431
"39","2332566","PPCS","79717","phosphopantothenoylcysteine synthetase",1.99715413797755,8.33593252216538,6.89913874978628,3.71733708447086e-06,7.79448514676279e-06,4.18183145595935
"40","2332711","PPIH","10465","peptidylprolyl isomerase H",-1.99332756892264,9.61361277731174,-11.6775449955543,3.30291893266246e-09,1.63405219087531e-08,11.4076068218459
"41","2333136","CDC20","991","cell division cycle 20",-3.33870245324909,8.30582892779349,-14.1254284594105,2.06666181985881e-10,2.05324499304715e-09,14.2256536505378
"42","2333168","SZT2","23334","SZT2 subunit of KICSTOR complex",0.964322553495374,7.5440964296044,5.47986116764361,5.16824899462021e-05,9.27498018103166e-05,1.4782048643581
"43","2333635","DPH2","1802","diphthamide biosynthesis 2",-2.77857298383134,7.20259840758058,-12.6540532802619,1.03664876750178e-09,6.62333531906463e-09,12.589707331005
"44","2333678","B4GALT2","8704","beta-1,4-galactosyltransferase 2",-2.9083616721487,8.14974754872984,-13.0630128311493,6.52150580730472e-10,4.58257826497938e-09,13.0610601945839
"45","2334098","KIF2C","11004","kinesin family member 2C",-2.4352115281441,6.96617892461932,-8.58214630966873,2.32508026474653e-07,6.21776395123233e-07,7.038128381735
"46","2334279","UROD","7389","uroporphyrinogen decarboxylase",-0.582989570491216,8.21127187014322,-2.93740741319729,0.00971612972767112,0.0133624158275747,-3.78102271311037
